date,open,high,low,close
1983-02-01,147.12,147.22,143.12,143.22
1983-02-02,141.82,145.22,141.47,144.02
1983-02-03,143.85,145.87,143.77,144.87
1983-02-04,144.6,148.47,144.37,148.37
1983-02-07,148.27,149.57,147.72,148.52
1983-02-08,148.82,149.12,146.02,146.12
1983-02-09,146.07,146.92,145.17,146.12
1983-02-10,147.07,150.07,146.97,149.97
1983-02-11,150.22,150.72,148.37,148.77
1983-02-14,149.02,151.77,148.87,150.92
1983-02-15,151.2,151.57,148.77,149.32
1983-02-16,150.75,150.97,148.07,148.22
1983-02-17,148.42,149.52,147.22,149.02
1983-02-18,149.4,150.42,148.72,149.22
1983-02-22,149.42,149.62,145.87,146.22
1983-02-23,146.45,148.97,146.17,148.57
1983-02-24,149.27,152.22,149.12,151.67
1983-02-25,152.17,152.62,150.47,150.97
1983-02-28,149.62,150.57,148.22,149.17
1983-03-01,150.05,152.72,149.97,152.47
1983-03-02,152.37,153.17,151.57,152.52
1983-03-03,152.87,154.47,152.77,153.22
1983-03-04,152.65,154.07,152.07,153.62
1983-03-07,152.65,153.87,151.77,153.57
1983-03-08,152.82,153.17,150.97,151.07
1983-03-09,151.52,153.12,150.97,152.82
1983-03-10,152.85,153.52,150.82,150.92
1983-03-11,151.05,151.52,149.87,151.22
1983-03-14,151.35,151.97,150.02,151.52
1983-03-15,150.8,151.77,150.67,151.47
1983-03-16,151.02,151.72,149.07,149.17
1983-03-17,149.72,149.77,148.77,149.56
1983-03-18,149.52,150.67,149.17,150.32
1983-03-21,149.67,152.37,149.52,152.27
1983-03-22,152.3,152.37,150.47,151.07
1983-03-23,151.42,155.17,151.22,154.67
1983-03-24,154.4,155.42,153.67,154.82
1983-03-25,154.62,155.17,152.62,153.12
1983-03-28,153.62,153.87,152.37,153.12
1983-03-29,153.65,154.37,152.12,152.27
1983-03-30,152.67,154.67,152.57,154.52
1983-03-31,154.92,155.97,151.67,151.87
1983-04-04,152.4,153.37,151.82,153.17
1983-04-05,153.77,154.17,151.32,151.72
1983-04-06,151.92,152.07,149.67,151.32
1983-04-07,151.12,152.02,150.17,151.77
1983-04-08,151.72,152.37,150.57,151.82
1983-04-11,153.15,155.17,153.02,155.07
1983-04-12,154.87,155.67,154.12,155.57
1983-04-13,155.3,157.17,155.22,156.32
1983-04-14,156.6,158.47,155.57,158.37
1983-04-15,157.57,158.87,157.47,158.17
1983-04-18,158.02,159.37,157.42,159.02
1983-04-19,158.2,158.42,156.97,157.92
1983-04-20,158.22,160.52,157.82,160.17
1983-04-21,159.62,160.67,159.07,159.72
1983-04-22,159.62,160.47,159.37,159.77
1983-04-25,160.35,160.57,157.72,158.12
1983-04-26,158.17,162.22,157.62,162.12
1983-04-27,162.05,162.77,160.07,161.87
1983-04-28,161.67,163.57,161.32,163.27
1983-04-29,163.3,164.67,162.57,164.22
1983-05-02,164.42,164.52,162.07,163.02
1983-05-03,162.82,163.47,161.77,163.17
1983-05-04,163.47,165.17,162.87,164.17
1983-05-05,163.75,165.07,163.67,164.82
1983-05-06,165.02,168.32,164.97,167.47
1983-05-09,166.62,167.97,165.92,167.07
1983-05-10,167.4,167.87,166.87,167.07
1983-05-11,166.77,167.27,164.97,165.97
1983-05-12,165.62,165.97,164.47,165.12
1983-05-13,165.65,166.67,165.52,165.82
1983-05-16,163.97,164.27,163.07,164.22
1983-05-17,164.22,164.77,163.17,164.52
1983-05-18,164.9,165.77,162.97,163.02
1983-05-19,163.55,163.77,161.62,162.12
1983-05-20,162.35,162.42,161.07,161.92
1983-05-23,160.4,164.07,160.32,163.92
1983-05-24,163.57,166.32,163.52,166.12
1983-05-25,166.47,167.22,165.07,166.87
1983-05-26,166.65,167.27,165.77,166.12
1983-05-27,166.8,166.87,165.32,165.57
1983-05-31,164.6,165.17,161.72,162.17
1983-06-01,162.12,163.47,160.97,162.92
1983-06-02,163.7,164.52,162.47,164.42
1983-06-03,164.17,165.57,164.02,164.62
1983-06-06,164.57,165.92,163.62,165.42
1983-06-07,165.1,165.37,161.77,161.87
1983-06-08,162.12,162.52,160.72,160.92
1983-06-09,161.82,162.37,160.32,161.87
1983-06-10,161.75,162.97,161.62,162.47
1983-06-13,163.87,165.47,162.92,165.32
1983-06-14,164.8,166.27,164.67,165.32
1983-06-15,165.2,167.87,165.07,167.72
1983-06-16,167.82,169.77,167.67,169.17
1983-06-17,170.85,171.57,170.07,171.42
1983-06-20,171.27,172.27,169.82,170.67
1983-06-21,170.52,173.07,169.72,172.62
1983-06-22,172.77,173.82,171.57,171.72
1983-06-23,171.87,172.77,171.02,171.97
1983-06-24,171.65,172.27,170.97,171.17
1983-06-27,170.87,171.12,168.97,169.52
1983-06-28,170.27,170.37,167.07,167.42
1983-06-29,167.32,169.37,166.97,168.87
1983-06-30,169.52,170.17,169.07,170.12
1983-07-01,170.22,170.72,169.52,170.22
1983-07-05,167.6,167.97,166.52,167.52
1983-07-06,167.85,169.82,167.37,169.77
1983-07-07,169.02,171.37,167.77,168.02
1983-07-08,168.45,168.87,167.42,168.27
1983-07-11,168.95,169.77,168.47,168.87
1983-07-12,168.6,168.77,166.12,166.17
